epoch ,time      ,train/box_loss ,train/seg_loss ,train/cls_loss ,train/dfl_loss ,train/sem_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,metrics/precision(M) ,metrics/recall(M) ,metrics/mAP50(M) ,metrics/mAP50-95(M) ,val/box_loss ,val/seg_loss ,val/cls_loss ,val/dfl_loss ,val/sem_loss ,lr/pg0     ,lr/pg1     ,lr/pg2
    1 ,  196.976 ,       1.20191 ,       4.10834 ,       2.62626 ,       1.58508 ,             0 ,             0.56433 ,          0.27846 ,         0.18526 ,            0.13138 ,             0.53664 ,          0.24309 ,         0.1408  ,            0.05755 ,     1.04451 ,     3.5797  ,     3.04413 ,     1.33941 ,           0 ,0.00332755 ,0.00332755 ,0.0700521
    2 ,  385.863 ,       1.11019 ,       3.69949 ,       2.14245 ,       1.48103 ,             0 ,             0.54184 ,          0.26708 ,         0.14871 ,            0.10339 ,             0.507   ,          0.2299  ,         0.1081  ,            0.03807 ,     1.21172 ,     3.6816  ,     4.00489 ,     1.51858 ,           0 ,0.00659494 ,0.00659494 ,0.0399861
    3 ,  575.931 ,       1.23375 ,       3.86183 ,       2.00337 ,       1.58498 ,             0 ,             0.17712 ,          0.29983 ,         0.16925 ,            0.10901 ,             0.13495 ,          0.23548 ,         0.09786 ,            0.0282  ,     1.28852 ,     3.8742  ,     3.55389 ,     1.65657 ,           0 ,0.00979633 ,0.00979633 ,0.0098542
    4 ,  767.991 ,       1.27363 ,       3.92211 ,       2.09856 ,       1.64341 ,             0 ,             0.53775 ,          0.26855 ,         0.17173 ,            0.11921 ,             0.48422 ,          0.2069  ,         0.10931 ,            0.03597 ,     1.26673 ,     3.93314 ,     2.93396 ,     1.57756 ,           0 ,0.009703   ,0.009703   ,0.009703
    5 ,  961.609 ,       1.29491 ,       3.91199 ,       2.04133 ,       1.6542  ,             0 ,             0.54384 ,          0.29884 ,         0.17541 ,            0.1211  ,             0.48383 ,          0.21935 ,         0.10412 ,            0.02869 ,     1.26485 ,     3.94673 ,     2.74805 ,     1.55744 ,           0 ,0.009604   ,0.009604   ,0.009604
    6 , 1157.28  ,       1.23933 ,       3.85797 ,       2.04078 ,       1.61072 ,             0 ,             0.55807 ,          0.27593 ,         0.1898  ,            0.13326 ,             0.52311 ,          0.24582 ,         0.14898 ,            0.05864 ,     1.11891 ,     3.61362 ,     2.65077 ,     1.42184 ,           0 ,0.009505   ,0.009505   ,0.009505
    7 , 1350.57  ,       1.19943 ,       3.78194 ,       1.99686 ,       1.57278 ,             0 ,             0.29486 ,          0.32078 ,         0.20374 ,            0.14071 ,             0.26951 ,          0.27324 ,         0.15768 ,            0.05733 ,     1.18595 ,     3.46754 ,     2.62163 ,     1.47742 ,           0 ,0.009406   ,0.009406   ,0.009406
    8 , 1544.4   ,       1.17823 ,       3.72276 ,       1.89331 ,       1.54692 ,             0 ,             0.27109 ,          0.31226 ,         0.19801 ,            0.13973 ,             0.31439 ,          0.28775 ,         0.16065 ,            0.05867 ,     1.07972 ,     3.50522 ,     2.86951 ,     1.39464 ,           0 ,0.009307   ,0.009307   ,0.009307
    9 , 1741.88  ,       1.12827 ,       3.61258 ,       1.94717 ,       1.49578 ,             0 ,             0.50437 ,          0.31884 ,         0.19542 ,            0.13628 ,             0.47118 ,          0.25726 ,         0.1486  ,            0.05074 ,     1.16633 ,     3.57315 ,     2.8351  ,     1.46731 ,           0 ,0.009208   ,0.009208   ,0.009208
   10 , 1936.32  ,       1.1237  ,       3.61412 ,       1.93515 ,       1.48253 ,             0 ,             0.54473 ,          0.32102 ,         0.21857 ,            0.15933 ,             0.51933 ,          0.2816  ,         0.17274 ,            0.06903 ,     1.04793 ,     3.35271 ,     3.08112 ,     1.32736 ,           0 ,0.009109   ,0.009109   ,0.009109
